Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Xeon E7-4809 v2,Discontinued,Q1'14,Ivy Bridge,6,12,22,N/A,1.90,105,12,N/A,1536,"DDR3 1066/1333",N/A,N/A
Xeon E7-4820 v2,Discontinued,Q1'14,Ivy Bridge,8,16,22,2.50,2.00,105,16,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-4830 v2,Discontinued,Q1'14,Ivy Bridge,10,20,22,2.70,2.20,105,20,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-4850 v2,Discontinued,Q1'14,Ivy Bridge,12,24,22,2.80,2.30,105,24,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-4860 v2,Discontinued,Q1'14,Ivy Bridge,12,24,22,3.20,2.60,130,30,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-4870 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,2.90,2.30,130,30,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-4880 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,3.10,2.50,130,37.5,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-4890 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,3.40,2.80,155,37.5,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-8850 v2,Discontinued,Q1'14,Ivy Bridge,12,24,22,2.80,2.30,105,24,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-8857 v2,Discontinued,Q1'14,Ivy Bridge,12,12,22,3.60,3.00,130,30,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-8870 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,2.90,2.30,130,30,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-8880 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,3.10,2.50,130,37.5,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-8880L v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,2.80,2.20,105,37.5,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-8890 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,3.40,2.80,155,37.5,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
