Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
Pentium 4 506,Discontinued,Q2'05,1,N/A,2.66,1,L2 Cache,N/A
Pentium 4 505/505J,Discontinued,Q1'05,1,N/A,2.66,1,L2 Cache,N/A
Pentium 4 505,Discontinued,N/A,1,N/A,2.66,1,L2 Cache,N/A
"Pentium 4 2.80A GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.80,1,N/A,N/A
"Pentium 4 2.80 GHz, 512 Cache, 533 MHz FSB",Discontinued,Q1'02,1,N/A,2.80,0.5,L2 Cache,N/A
"Pentium 4 2.80 GHz, 1M Cache,533 MHz FSB",Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
"Pentium 4 2.80 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.80,0.5,L2 Cache,N/A
"Pentium 4 2.66 GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.66,1,L2 Cache,N/A
"Pentium 4 2.66 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.66,0.5,L2 Cache,N/A
"Pentium 4 2.60 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.60,0.5,L2 Cache,N/A
"Pentium 4 2.53 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.53,0.5,L2 Cache,N/A
"Pentium 4 2.40 GHz, 512K Cache, 533 MHz FSB",Discontinued,Q1'02,1,N/A,2.40,0.5,L2 Cache,N/A
"Pentium 4 2.50 Ghz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.50,0.5,L2 Cache,N/A
"Pentium 4 2.40 Ghz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.40,1,L2 Cache,N/A
"Pentium 4 2.40 Ghz, 512K Cache, 400 Mhz FSB",Discontinued,Q1'02,1,N/A,2.40,0.5,L2 Cache,N/A
"Pentium 4 2.26 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.26,0.5,L2 Cache,N/A
"Pentium 4 2.20 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.20,0.5,L2 Cache,N/A
